,443,#BRACRC,205,#BRA,198,#CRC,102,#WorldCup,79,#Copa2018,39,6,28,#Rusia2018,28,#BrasilGanha,24,0-0,24,Costa,23,Neymar,22,#Bra,20,game,19,en,16,el,14,…,14,#bra,14,la,13,Rica,13,time,13,minutes,12,los,12,vote,12,#BRAxCRC,12,Brazil,12,OLHUGOL,12,@NavasKeylor,11,minutos,11,GOL,11
,15796,#BRA,7991,#BRACRC,6008,#CRC,2731,#WorldCup,2385,Coutinho,1861,#Copa2018,1488,el,1092,#Rusia2018,1076,1-0,1061,#Bra,897,#bra,886,en,693,la,687,Costa,680,COUTINHO,631,#BrasilGanha,594,Brazil,586,y,532,gol,531,1,485,Neymar,471,0,466,…,454,Brasil,445,Rica,419,-,412,le,366,@Phil_Coutinho,327,Gol,315
,16217,#BRA,8185,#BRACRC,6175,#CRC,2786,#WorldCup,2443,Coutinho,1903,#Copa2018,1524,el,1124,#Rusia2018,1102,1-0,1077,#Bra,928,#bra,905,en,719,la,706,Costa,706,COUTINHO,645,#BrasilGanha,607,Brazil,602,y,552,gol,550,1,496,Neymar,494,…,479,0,473,Brasil,457,Rica,434,-,419,le,373,@Phil_Coutinho,340,Gol,327
,16633,#BRA,8387,#BRACRC,6330,#CRC,2863,#WorldCup,2503,Coutinho,1955,#Copa2018,1575,el,1160,#Rusia2018,1130,1-0,1097,#Bra,948,#bra,925,en,750,la,741,Costa,728,COUTINHO,652,#BrasilGanha,635,Brazil,628,y,580,gol,570,Neymar,516,1,516,…,498,0,490,Brasil,476,Rica,445,-,440,le,382,@Phil_Coutinho,351,un,336
,16976,#BRA,8542,#BRACRC,6463,#CRC,2923,#WorldCup,2569,Coutinho,1985,#Copa2018,1612,el,1193,#Rusia2018,1159,1-0,1108,#Bra,973,#bra,943,en,778,la,765,Costa,747,COUTINHO,661,#BrasilGanha,645,Brazil,640,y,594,gol,584,Neymar,538,1,523,…,522,0,494,Brasil,485,Rica,456,-,442,le,395,@Phil_Coutinho,367,un,348
,17309,#BRA,8709,#BRACRC,6590,#CRC,2990,#WorldCup,2608,Coutinho,2027,#Copa2018,1646,el,1229,#Rusia2018,1179,1-0,1119,#Bra,989,#bra,953,en,793,la,783,Costa,769,COUTINHO,672,#BrasilGanha,667,Brazil,662,y,613,gol,594,Neymar,555,…,546,1,531,0,504,Brasil,501,Rica,464,-,452,le,406,@Phil_Coutinho,374,un,356
,17619,#BRA,8848,#BRACRC,6711,#CRC,3054,#WorldCup,2655,Coutinho,2069,#Copa2018,1675,el,1254,#Rusia2018,1195,1-0,1135,#Bra,1005,#bra,971,en,807,la,798,Costa,790,#BrasilGanha,686,COUTINHO,682,Brazil,680,y,623,gol,604,…,573,Neymar,567,1,540,Brasil,514,0,512,Rica,472,-,458,le,412,@Phil_Coutinho,385,un,366
,17939,#BRA,9002,#BRACRC,6834,#CRC,3114,#WorldCup,2705,Coutinho,2098,#Copa2018,1710,el,1279,#Rusia2018,1208,1-0,1145,#Bra,1022,#bra,992,en,824,la,813,Costa,797,#BrasilGanha,704,Brazil,689,COUTINHO,688,y,640,gol,623,…,593,Neymar,578,1,552,0,525,Brasil,523,Rica,478,-,464,le,424,@Phil_Coutinho,396,un,372
,18278,#BRA,9152,#BRACRC,6963,#CRC,3181,#WorldCup,2758,Coutinho,2137,#Copa2018,1737,el,1310,#Rusia2018,1232,1-0,1159,#Bra,1039,#bra,1011,en,858,la,842,Costa,821,#BrasilGanha,719,Brazil,699,COUTINHO,694,y,660,gol,634,…,618,Neymar,611,1,562,Brasil,535,0,533,Rica,493,-,470,le,445,@Phil_Coutinho,405,un,399
,18558,#BRA,9284,#BRACRC,7083,#CRC,3230,#WorldCup,2802,Coutinho,2161,#Copa2018,1764,el,1324,#Rusia2018,1248,1-0,1169,#Bra,1053,#bra,1024,en,871,la,863,Costa,833,#BrasilGanha,733,Brazil,711,COUTINHO,699,y,673,Neymar,655,gol,640,…,636,1,565,Brasil,543,0,538,Rica,499,-,479,le,456,@Phil_Coutinho,411,un,408
,18809,#BRA,9396,#BRACRC,7198,#CRC,3272,#WorldCup,2846,Coutinho,2178,#Copa2018,1783,el,1341,#Rusia2018,1263,1-0,1176,#Bra,1067,#bra,1034,en,883,la,880,Costa,849,#BrasilGanha,742,Brazil,727,COUTINHO,701,Neymar,689,y,686,…,657,gol,651,1,570,Brasil,548,0,540,Rica,513,-,481,le,466,un,414,@Phil_Coutinho,413
,19339,#BRA,9706,#BRACRC,7381,#CRC,3356,#WorldCup,2908,Coutinho,2193,#Copa2018,1838,el,1355,#Rusia2018,1288,1-0,1180,#Bra,1093,#bra,1066,en,900,la,890,Costa,865,#BrasilGanha,763,Neymar,756,Brazil,746,COUTINHO,704,y,701,…,672,gol,656,1,575,Brasil,558,0,552,Rica,525,-,495,le,475,@Phil_Coutinho,424,un,422
,20411,#BRA,10316,#BRACRC,7714,#CRC,3510,#WorldCup,3052,Coutinho,2208,#Copa2018,1945,el,1397,#Rusia2018,1352,1-0,1189,#Bra,1168,#bra,1128,en,923,Neymar,920,la,910,Costa,888,#BrasilGanha,797,Brazil,771,y,720,COUTINHO,708,…,695,gol,674,0,585,1,579,Brasil,573,Rica,539,-,532,le,489,un,435,@Phil_Coutinho,426
,21580,#BRA,10992,#BRACRC,8084,#CRC,3709,#WorldCup,3210,Coutinho,2220,#Copa2018,2068,el,1470,#Rusia2018,1454,#Bra,1245,#bra,1203,1-0,1194,Neymar,1144,en,962,la,943,Costa,936,#BrasilGanha,838,Brazil,799,y,760,…,727,COUTINHO,714,gol,705,0,637,Brasil,603,1,584,-,569,Rica,564,le,505,un,453,@Phil_Coutinho,430
